country_iso2,report_year,sector_code,sector_name,sector_waste_tonnes,pct_of_country_total,sector_rank
LT,2014,D,"Electricity, gas, steam and air conditioning supply",2511,2.4,5
LT,2014,E,"Water supply, sewerage, waste management",19064,18.1,6
LT,2014,EP_HH,Households,18851,17.9,7
LT,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),1470,1.4,8
LT,2012,C,Manufacturing,11953,11.3,9
LT,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),66743,62.2,1
LT,2012,G4677,Wholesale of waste and scrap,648,0.6,2
LT,2012,D,"Electricity, gas, steam and air conditioning supply",571,0.5,3
LT,2012,A,"Agriculture, forestry and fishing",4421,4.1,4
LT,2012,B,Mining and quarrying,344,0.3,5
LT,2012,F,Construction,1938,1.8,6
LT,2012,C,Manufacturing,18918,17.6,7
LT,2012,EP_HH,Households,13798,12.8,8
LT,2012,EP_HH,Households,6475,7.4,1
LT,2012,A,"Agriculture, forestry and fishing",5931,6.8,2
LT,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),45322,52,3
LT,2012,G4677,Wholesale of waste and scrap,453,0.5,4
LT,2012,B,Mining and quarrying,44,0.1,5
LT,2012,D,"Electricity, gas, steam and air conditioning supply",1664,1.9,6
LT,2012,F,Construction,14521,16.7,7
LT,2012,C,Manufacturing,12793,14.7,8
LT,2012,G4677,Wholesale of waste and scrap,722,0.8,1
LT,2012,D,"Electricity, gas, steam and air conditioning supply",603,0.7,2
LT,2012,A,"Agriculture, forestry and fishing",5930,6.6,3
LT,2012,F,Construction,5176,5.7,4
LT,2012,C,Manufacturing,39657,44,5
LT,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),37650,41.8,6
LT,2012,B,Mining and quarrying,373,0.4,7
LT,2012,EP_HH,Households,35,0,8
LV,2012,F,Construction,871,1.5,1
LV,2012,G4677,Wholesale of waste and scrap,746,1.3,2
LV,2012,E,"Water supply, sewerage, waste management",6999,12.1,3
LV,2012,C,Manufacturing,5100,8.8,4
LV,2012,D,"Electricity, gas, steam and air conditioning supply",333,0.6,5
LV,2012,B,Mining and quarrying,33,0.1,6
LV,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),21262,36.9,7
LV,2012,EP_HH,Households,21001,36.4,8
LV,2012,A,"Agriculture, forestry and fishing",1323,2.3,9
LV,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),61606,43.6,1
LV,2012,C,Manufacturing,5993,4.2,2
LV,2012,E,"Water supply, sewerage, waste management",49751,35.2,3
LV,2012,G4677,Wholesale of waste and scrap,388,0.3,4
LV,2012,F,Construction,3741,2.6,5
LV,2012,B,Mining and quarrying,17,0,6
LV,2012,D,"Electricity, gas, steam and air conditioning supply",1693,1.2,7
LV,2012,EP_HH,Households,16783,11.9,8
LV,2012,A,"Agriculture, forestry and fishing",1448,1,9
LV,2012,B,Mining and quarrying,7,0,1
LV,2012,G4677,Wholesale of waste and scrap,52,0.1,2
LV,2012,EP_HH,Households,31365,40.6,3
LV,2012,F,Construction,1884,2.4,4
LV,2012,D,"Electricity, gas, steam and air conditioning supply",1820,2.4,5
LV,2012,E,"Water supply, sewerage, waste management",16909,21.9,6
LV,2012,A,"Agriculture, forestry and fishing",1596,2.1,7
LV,2012,C,Manufacturing,12665,16.4,8
LV,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),11036,14.3,9
LV,2012,B,Mining and quarrying,8,0,1
LV,2012,C,Manufacturing,4908,7.4,2
LV,2012,EP_HH,Households,42843,64.7,3
LV,2012,D,"Electricity, gas, steam and air conditioning supply",301,0.5,4
LV,2012,E,"Water supply, sewerage, waste management",2905,4.4,5
LV,2012,A,"Agriculture, forestry and fishing",2110,3.2,6
LV,2012,G4677,Wholesale of waste and scrap,18,0,7
LV,2012,F,Construction,1527,2.3,8
LV,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),11605,17.5,9
LV,2012,G4677,Wholesale of waste and scrap,93,0.1,1
LV,2012,A,"Agriculture, forestry and fishing",789,0.8,2
LV,2012,EP_HH,Households,68891,66.2,3
LV,2012,F,Construction,593,0.6,4
LV,2012,C,Manufacturing,3963,3.8,5
LV,2012,D,"Electricity, gas, steam and air conditioning supply",357,0.3,6
LV,2012,E,"Water supply, sewerage, waste management",19338,18.6,7
LV,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),10118,9.7,8
LV,2012,B,Mining and quarrying,0,0,9
LV,2012,F,Construction,77,0.1,1
LV,2012,D,"Electricity, gas, steam and air conditioning supply",7384,7.8,2
LV,2012,E,"Water supply, sewerage, waste management",7009,7.4,3
LV,2012,EP_HH,Households,54467,57.3,4
LV,2012,A,"Agriculture, forestry and fishing",45,0,5
LV,2012,B,Mining and quarrying,2,0,6
LV,2012,G4677,Wholesale of waste and scrap,1658,1.7,7
LV,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),12640,13.3,8
LV,2012,C,Manufacturing,11833,12.4,9
LV,2012,G4677,Wholesale of waste and scrap,8133,12,1
LV,2012,A,"Agriculture, forestry and fishing",732,1.1,2
LV,2012,F,Construction,57,0.1,3
LV,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),469,0.7,4
LV,2012,EP_HH,Households,35804,52.7,5
LV,2012,B,Mining and quarrying,3,0,6
LV,2012,D,"Electricity, gas, steam and air conditioning supply",194,0.3,7
LV,2012,E,"Water supply, sewerage, waste management",11511,17,8
LV,2012,C,Manufacturing,11004,16.2,9
LV,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),8767,13.1,1
LV,2012,F,Construction,75,0.1,2
LV,2012,A,"Agriculture, forestry and fishing",675,1,3
LV,2012,EP_HH,Households,35852,53.7,4
LV,2012,D,"Electricity, gas, steam and air conditioning supply",330,0.5,5
LV,2012,B,Mining and quarrying,3,0,6
LV,2012,C,Manufacturing,21060,31.5,7
LV,2012,G4677,Wholesale of waste and scrap,11,0,8
LV,2012,G4677,Wholesale of waste and scrap,86,0.1,1
LV,2012,G-U_X_G4677,Services (except wholesale of waste and scrap),5922,9.1,2
LV,2010,D,"Electricity, gas, steam and air conditioning supply",395,0.6,3
LV,2010,C,Manufacturing,35693,54.9,4
LV,2010,F,Construction,338,0.5,5
LV,2010,EP_HH,Households,21550,33.1,6
LV,2010,A,"Agriculture, forestry and fishing",1068,1.6,7
LV,2010,B,Mining and quarrying,0,0,8
LV,2010,C,Manufacturing,9495,57.4,1
LV,2010,D,"Electricity, gas, steam and air conditioning supply",506,3.1,2
LV,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),4060,24.5,3
LV,2010,B,Mining and quarrying,25,0.2,4
LV,2010,A,"Agriculture, forestry and fishing",2295,13.9,5
LV,2010,F,Construction,166,1,6
LV,2010,G4677,Wholesale of waste and scrap,0,0,7
LV,2010,EP_HH,Households,0,0,7
PL,2010,C,Manufacturing,815200,39,1
PL,2010,E,"Water supply, sewerage, waste management",638251,30.5,2
PL,2010,B,Mining and quarrying,5330,0.3,3
PL,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),399237,19.1,4
PL,2010,A,"Agriculture, forestry and fishing",3454,0.2,5
PL,2010,D,"Electricity, gas, steam and air conditioning supply",31002,1.5,6
PL,2010,EP_HH,Households,30546,1.5,7
PL,2010,G4677,Wholesale of waste and scrap,25555,1.2,8
PL,2010,F,Construction,144221,6.9,9
PL,2010,C,Manufacturing,819800,36.4,1
PL,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),715522,31.7,2
PL,2010,D,"Electricity, gas, steam and air conditioning supply",58243,2.6,3
PL,2010,E,"Water supply, sewerage, waste management",499739,22.2,4
PL,2010,B,Mining and quarrying,4609,0.2,5
PL,2010,G4677,Wholesale of waste and scrap,17122,0.8,6
PL,2010,A,"Agriculture, forestry and fishing",16484,0.7,7
PL,2010,F,Construction,112978,5,8
PL,2010,EP_HH,Households,10352,0.5,9
PL,2010,E,"Water supply, sewerage, waste management",645058,17,1
PL,2010,A,"Agriculture, forestry and fishing",5550,0.1,2
PL,2010,D,"Electricity, gas, steam and air conditioning supply",53945,1.4,3
PL,2010,G4677,Wholesale of waste and scrap,50455,1.3,4
PL,2010,F,Construction,311427,8.2,5
PL,2010,EP_HH,Households,304588,8,6
PL,2010,C,Manufacturing,1364951,35.9,7
PL,2010,B,Mining and quarrying,11637,0.3,8
PL,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),1057118,27.8,9
PL,2010,EP_HH,Households,965,0.1,1
PL,2010,F,Construction,88939,4.6,2
PL,2010,C,Manufacturing,815784,42.6,3
PL,2010,E,"Water supply, sewerage, waste management",603873,31.5,4
PL,2010,B,Mining and quarrying,5564,0.3,5
PL,2010,D,"Electricity, gas, steam and air conditioning supply",51669,2.7,6
PL,2010,A,"Agriculture, forestry and fishing",3209,0.2,7
PL,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),320218,16.7,8
PL,2010,G4677,Wholesale of waste and scrap,26913,1.4,9
PL,2010,EP_HH,Households,9072,0.5,1
PL,2010,D,"Electricity, gas, steam and air conditioning supply",76701,4.6,2
PL,2010,C,Manufacturing,718555,42.7,3
PL,2010,B,Mining and quarrying,6821,0.4,4
PL,2010,E,"Water supply, sewerage, waste management",437470,26,5
PL,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),263966,15.7,6
PL,2010,F,Construction,142580,8.5,7
PL,2010,G4677,Wholesale of waste and scrap,13086,0.8,8
PL,2010,A,"Agriculture, forestry and fishing",12786,0.8,9
PL,2010,G4677,Wholesale of waste and scrap,9575,0.6,1
PL,2010,C,Manufacturing,888178,51.1,2
PL,2010,D,"Electricity, gas, steam and air conditioning supply",76247,4.4,3
PL,2010,B,Mining and quarrying,5830,0.3,4
PL,2010,A,"Agriculture, forestry and fishing",4129,0.2,5
PL,2010,E,"Water supply, sewerage, waste management",394498,22.7,6
PL,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),203737,11.7,7
PL,2010,EP_HH,Households,20320,1.2,8
PL,2010,F,Construction,134510,7.7,9
PL,2010,B,Mining and quarrying,8596,0.6,1
PL,2010,G4677,Wholesale of waste and scrap,7153,0.5,2
PL,2010,C,Manufacturing,691672,46.4,3
PL,2010,F,Construction,66466,4.5,4
PL,2010,A,"Agriculture, forestry and fishing",5400,0.4,5
PL,2010,E,"Water supply, sewerage, waste management",401401,26.9,6
PL,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),285598,19.1,7
PL,2010,D,"Electricity, gas, steam and air conditioning supply",14117,0.9,8
PL,2010,EP_HH,Households,11442,0.8,9
